Île-de-France,Paris,Paris, 11e arrondissement
Île-de-France,Paris,Paris, 12e arrondissement
Île-de-France,Paris,Paris, 12e arronissement
Île-de-France,Paris,Paris, 13e arrondissement
Île-de-France,Paris,Paris, 14e arrondissement
Île-de-France,Paris,Paris, 15e arrondissement
Île-de-France,Paris,Paris, 16e arrondissement
Île-de-France,Paris,Paris, 17e arrondissement
Île-de-France,Paris,Paris, 18e arrondissement
Île-de-France,Paris,Paris, 19e arrondissement
Île-de-France,Paris,Paris, 1er arrondissement
Île-de-France,Paris,Paris, 20e arrondissement
Île-de-France,Paris,Paris, 2e arrondissement
Île-de-France,Paris,Paris, 3e arrondissement
Île-de-France,Paris,Paris, 5e arrondissement
Île-de-France,Paris,Paris, 6e arrondissement
Île-de-France,Paris,Paris, 7e arrondissement
Île-de-France,Paris,Paris, 8e arrondissement
Île-de-France,Paris,Paris, 9e arrondissement
